Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2u,C_0805_2012Metric,134.1,-102.85,-90,top
C2,2.2u,C_0805_2012Metric,186.1,-102.85,-90,top
C3,100n,C_0603_1608Metric,179.7,-118,-90,top
C4,100n,C_0603_1608Metric,182.8,-118,-90,top
C5,10u,C_1206_3216Metric,182.6,-104,0,top
C6,100n,C_0603_1608Metric,172.6,-104.5,90,top
C7,2.2u,C_0805_2012Metric,233.6,-86.7,-90,top
C8,2.2u,C_0805_2012Metric,210.65,-86.3,-90,top
C9,2.2u,C_0805_2012Metric,213.3,-112.2,0,top
C10,2.2u,C_0805_2012Metric,181.4,-86.3,-90,top
C11,2.2u,C_0805_2012Metric,159.6,-86.3,-90,top
C12,2.2u,C_0805_2012Metric,148.6,-126,90,top
C13,2.2u,C_0805_2012Metric,148.6,-121.4,90,top
C14,22u,C_0805_2012Metric,147.2,-116,90,top
C15,47u,C_1210_3225Metric,110.3,-107.5,-90,top
C16,47u,C_1210_3225Metric,99.8,-107.5,-90,top
C17,47u,C_1210_3225Metric,106.8,-107.5,-90,top
C18,47u,C_1210_3225Metric,103.3,-107.5,-90,top
C19,10u,C_0603_1608Metric,93.6,-105,-90,top
C20,100n,CAPC1608X90N,93.6,-108,90,top
C21,100p,C_0603_1608Metric,92.1,-105,-90,top
C22,22n,C_0603_1608Metric,90.6,-105,-90,top
C23,10n,C_0603_1608Metric,98.775,-102.5,0,top
C24,220n,C_1206_3216Metric,85.1,-90.5,0,top
C25,220n,C_1206_3216Metric,85.1,-93,0,top
C26,2.2u,C_0805_2012Metric,129.9,-86.3,-90,top
C27,2.2u,C_0805_2012Metric,108.1,-86.3,-90,top
C28,10u,C_0603_1608Metric,138.7,-111.5,180,top
C29,10u,C_0603_1608Metric,147.2,-104.4,180,top
D1,LED,LED_1206_3216Metric,201.6,-126,90,top
D2,LED,LED_1206_3216Metric,198.6,-126,90,top
D3,PRTR5V0U2X,SOT-143,176.6,-121.5,180,top
D4,"P6SMB6,8A",D_SMB,139.0775,-115.5225,180,top
D5,RFN1LAM6STR,RFN1LAM6STR,83,-100.7,0,top
F1,"2,2A",Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,175.1,-126.225,180,top
LED1,APA-106-F5,LED_D5.0mm-4_RGB,99.5,-89.5,180,top
LED2,APA-106-F5,LED_D5.0mm-4_RGB,121.5,-89.5,180,top
LED3,APA-106-F5,LED_D5.0mm-4_RGB,151,-89.5,180,top
LED4,APA-106-F5,LED_D5.0mm-4_RGB,173,-89.5,180,top
LED5,APA-106-F5,LED_D5.0mm-4_RGB,202.5,-89.5,180,top
LED6,APA-106-F5,LED_D5.0mm-4_RGB,224.5,-89.5,180,top
N1,IN-8,IN-8,97.6,-89.5,0,top
N2,IN-8,IN-8,119.6,-89.5,0,top
N3,IN-8,IN-8,149.1,-89.5,0,top
N4,IN-8,IN-8,171.1,-89.5,0,top
N5,IN-8,IN-8,200.6,-89.5,0,top
N6,IN-8,IN-8,222.6,-89.5,0,top
NE1,Neon Lamp,LED_D5.0mm,133.075,-89.5,0,top
NE2,Neon Lamp,LED_D5.0mm,184.575,-89.5,0,top
Q1,MPSA92,TO-92L_Inline_Wide,153.6,-74.42,-90,top
Q2,MPSA92,TO-92L_Inline_Wide,124.1875,-74.45,-90,top
Q3,MPSA92,TO-92L_Inline_Wide,102.15,-74.45,-90,top
Q4,MPSA92,TO-92L_Inline_Wide,227.1,-74.42,-90,top
Q5,MPSA92,TO-92L_Inline_Wide,205.1,-74.42,-90,top
Q6,MPSA92,TO-92L_Inline_Wide,175.6,-74.42,-90,top
Q7,MPSA92,TO-92L_Inline_Wide,144.55,-79.55,90,top
Q8,MPSA92,TO-92L_Inline_Wide,115.1375,-79.5,90,top
Q9,MPSA92,TO-92L_Inline_Wide,93.1,-79.54,90,top
Q10,MPSA92,TO-92L_Inline_Wide,218.05,-79.5875,90,top
Q11,MPSA92,TO-92L_Inline_Wide,196.0075,-79.52,90,top
Q12,MPSA92,TO-92L_Inline_Wide,166.5,-79.52,90,top
Q13,BSS138,SOT-23W,233.68,-99.6,0,top
Q14,UMH3N,SOT-363_SC-70-6,174.65,-117.35,180,top
Q15,IPD50R3K0CE,TO-252-2,118.0775,-123.3975,180,top
Q16,BSS138,SOT-23W,232.79,-118.72,0,top
Q17,BSS138,SOT-23W,232.8,-115.15,0,top
Q18,BSS138,SOT-23W,232.79,-111.55,0,top
Q19,BSS138,SOT-23W,232.79,-107.95,0,top
R1,330K,R_1206_3216Metric,140.6,-81,-90,top
R2,330K,R_1206_3216Metric,111.1375,-81,-90,top
R3,330K,R_1206_3216Metric,89.1,-81,-90,top
R4,330K,R_1206_3216Metric,214.1,-81,-90,top
R5,330K,R_1206_3216Metric,192.05,-80.9325,-90,top
R6,330K,R_1206_3216Metric,162.55,-80.9325,-90,top
R7,300,R_1206_3216Metric,149.1,-77,180,top
R8,300,R_1206_3216Metric,119.6375,-77,180,top
R9,300,R_1206_3216Metric,97.6,-77,180,top
R10,300,R_1206_3216Metric,222.6,-77,180,top
R11,300,R_1206_3216Metric,200.55,-76.9325,180,top
R12,300,R_1206_3216Metric,171.05,-76.9325,180,top
R13,10K,R_1206_3216Metric,131.6,-103,-90,top
R14,100,R_0603_1608Metric,201.6,-122,90,top
R15,100,R_0603_1608Metric,198.6,-122,90,top
R16,10k,R_0603_1608Metric,212.2,-114,0,top
R17,10K,R_0603_1608Metric,229.68,-99.6,-90,top
R18,10K,R_0603_1608Metric,238.18,-99.6,-90,top
R19,10K,R_0603_1608Metric,171.1,-117.675,-90,top
R20,5K1,R_0603_1608Metric,208.6,-117.5,180,top
R21,5K1,R_0603_1608Metric,212.6,-117.5,0,top
R22,10K,R_0603_1608Metric,172.1,-113.5,0,top
R23,140K,R_0603_1608Metric,95.1,-99.5,0,top
R24,140K,R_0603_1608Metric,92.1,-108,90,top
R25,10K,R_0603_1608Metric,91.1,-102.5,180,top
R26,22,R_0603_1608Metric,98.8,-100.9,0,top
R27,0.02 1W,R_1206_3216Metric,102.3,-102.4625,-90,top
R28,1M,R_1206_3216Metric,85.1,-95.5,0,top
R29,63.4K,R_0603_1608Metric,86.2,-98.5,-90,top
R30,10K,R_0603_1608Metric,86.2,-102,-90,top
R31,4.7k,R_0603_1608Metric,216.4,-106,-90,top
R32,10K,R_0603_1608Metric,229.1,-118.8,-90,top
R33,10K,R_0603_1608Metric,236.5,-117.9,-90,top
